"Nombre de la cuenta",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (USD)","CPM (costo por mil impresiones)","Inicio del informe","Fin del informe"
,,82434,223003,2.70523085,USD,81.48,0.36537625,2024-04-01,2024-04-30
"Drako EC",2024-04-25,2758,2893,1.04894851,USD,0.83,0.28689941,2024-04-01,2024-04-30
"Drako EC",2024-04-24,3892,4079,1.04804728,USD,1.14,0.27948026,2024-04-01,2024-04-30
"Drako EC",2024-04-23,6545,7462,1.14010695,USD,2.39,0.32028947,2024-04-01,2024-04-30
"Drako EC",2024-04-22,6822,7746,1.13544415,USD,2.28,0.29434547,2024-04-01,2024-04-30
"Drako EC",2024-04-21,7531,8776,1.16531669,USD,2.55,0.29056518,2024-04-01,2024-04-30
"Drako EC",2024-04-20,6439,7441,1.15561423,USD,2.46,0.33060073,2024-04-01,2024-04-30
"Drako EC",2024-04-19,5875,6678,1.13668085,USD,2.4,0.35938904,2024-04-01,2024-04-30
"Drako EC",2024-04-18,5709,6650,1.16482747,USD,2.42,0.36390977,2024-04-01,2024-04-30
"Drako EC",2024-04-17,6352,7255,1.14215995,USD,2.6,0.35837354,2024-04-01,2024-04-30
"Drako EC",2024-04-16,5969,6839,1.14575306,USD,2.45,0.35823951,2024-04-01,2024-04-30
"Drako EC",2024-04-15,8964,10316,1.15082552,USD,4.14,0.40131834,2024-04-01,2024-04-30
"Drako EC",2024-04-14,13450,16000,1.18959108,USD,9.25,0.578125,2024-04-01,2024-04-30
"Drako EC",2024-04-13,12307,14948,1.21459332,USD,8.68,0.58067969,2024-04-01,2024-04-30
"Drako EC",2024-04-12,11236,13178,1.17283731,USD,8.58,0.65108514,2024-04-01,2024-04-30
"Drako EC",2024-04-11,10463,12339,1.17929848,USD,5.69,0.46113948,2024-04-01,2024-04-30
"Drako EC",2024-04-10,10118,11795,1.16574422,USD,4.41,0.37388724,2024-04-01,2024-04-30
"Drako EC",2024-04-09,10514,12493,1.18822522,USD,4.36,0.34899544,2024-04-01,2024-04-30
"Drako EC",2024-04-08,6418,7155,1.11483328,USD,2.46,0.34381551,2024-04-01,2024-04-30
"Drako EC",2024-04-06,6783,7697,1.13474864,USD,1.74,0.2260621,2024-04-01,2024-04-30
"Drako EC",2024-04-05,8558,9870,1.15330685,USD,2.3,0.23302938,2024-04-01,2024-04-30
"Drako EC",2024-04-04,8611,10504,1.21983509,USD,2.29,0.21801219,2024-04-01,2024-04-30
"Drako EC",2024-04-03,9014,9875,1.09551808,USD,1.9,0.19240506,2024-04-01,2024-04-30
"Drako EC",2024-04-02,8752,9488,1.08409506,USD,2.06,0.21711636,2024-04-01,2024-04-30
"Drako EC",2024-04-01,10823,11526,1.06495426,USD,2.1,0.18219677,2024-04-01,2024-04-30
