ID,Year_Birth,Education,Marital_Status, Income ,Cant_Trx_Movil,Cant_Trx_Card
1826,1970,Graduation,Divorced,"$84,835.00 ",189,104
1,1961,Graduation,Single,"$57,091.00 ",464,5
10476,1958,Graduation,Married,"$67,267.00 ",134,11
1386,1967,Graduation,Together,"$32,474.00 ",10,0
5371,1989,Graduation,Single,"$21,474.00 ",6,16
7348,1958,PhD,Single,"$71,691.00 ",336,130
4073,1954,2n Cycle,Married,"$63,564.00 ",769,80
1991,1967,Graduation,Together,"$44,931.00 ",78,0
4047,1954,PhD,Married,"$65,324.00 ",384,0
9477,1954,PhD,Married,"$65,324.00 ",384,0
2079,1947,2n Cycle,Married,"$81,044.00 ",450,26
5642,1979,Master,Together,"$62,499.00 ",140,4
10530,1959,PhD,Widow,"$67,786.00 ",431,82
2964,1981,Graduation,Married,"$26,872.00 ",3,10
10311,1969,Graduation,Married,"$4,428.00 ",16,4
837,1977,Graduation,Married,"$54,809.00 ",63,6
10521,1977,Graduation,Married,"$54,809.00 ",63,6
10175,1958,PhD,Divorced,"$32,173.00 ",18,0
1473,1960,2n Cycle,Single,"$47,823.00 ",53,1
2795,1958,Master,Single,"$30,523.00 ",5,0
2285,1954,Master,Together,"$36,634.00 ",213,9
115,1966,Master,Single,"$43,456.00 ",275,11
10470,1979,Master,Married,"$40,662.00 ",40,2
4065,1976,PhD,Married,"$49,544.00 ",308,0
10968,1969,Graduation,Single,"$57,731.00 ",266,21
5985,1965,Master,Single,"$33,168.00 ",80,1
5430,1956,Graduation,Together,"$54,450.00 ",454,0
8432,1956,Graduation,Together,"$54,450.00 ",454,0
453,1956,PhD,Widow,"$35,340.00 ",27,0
9687,1975,Graduation,Single,"$73,170.00 ",184,174
8890,1971,PhD,Divorced,"$65,808.00 ",155,7
9264,1986,Graduation,Married,"$79,529.00 ",423,42
5824,1972,PhD,Together,"$34,578.00 ",7,0
5794,1974,PhD,Married,"$46,374.00 ",408,0
3068,1990,Graduation,Married,"$18,351.00 ",1,12
7962,1987,PhD,Single,"$95,169.00 ",1285,21
2681,1984,2n Cycle,Married,"$65,370.00 ",71,22
10141,1960,Master,Divorced,"$39,228.00 ",7,1
3725,1961,PhD,Single,"$84,865.00 ",1248,16
3767,1968,Graduation,Married,"$61,314.00 ",378,0
